iter	Logloss
313	0.2702810645
314	0.2701321241
315	0.2700511646
316	0.2699668132
317	0.269808344
318	0.2697223519
319	0.2696499666
320	0.2695664126
321	0.2694980052
322	0.269438006
323	0.269302762
324	0.2692173721
325	0.2691469227
326	0.2690573815
327	0.2688215023
328	0.2687499984
329	0.2685507607
330	0.2684769733
331	0.2684171711
332	0.2682467442
333	0.2680989043
334	0.2680012088
335	0.26792863
336	0.2678436294
337	0.2678017412
338	0.2677141521
339	0.267598359
340	0.2674974981
341	0.2673870791
342	0.2673059382
343	0.2672151517
344	0.2671431657
345	0.2670825942
346	0.2670234528
347	0.266879353
348	0.2668163894
349	0.2667167364
350	0.2666388901
351	0.2665828588
352	0.2665126113
353	0.266424636
354	0.2663404137
355	0.2662886609
356	0.2662256833
357	0.2661383809
358	0.2660729938
359	0.2660311392
360	0.2659651855
361	0.265884546
362	0.2657534062
363	0.2656886698
364	0.26559007
365	0.2655085919
366	0.2654365599
367	0.2654034171
368	0.2652826627
369	0.2652151767
370	0.265142624
371	0.2650389881
372	0.2649575659
373	0.2648800314
374	0.2648209366
375	0.2647342342
376	0.2646809686
377	0.2645672318
378	0.264485635
379	0.2643616498
380	0.2643195722
381	0.2642236177
382	0.264166072
383	0.2640740071
384	0.2639971908
385	0.2639153729
386	0.2638148179
387	0.2637420223
388	0.2636758344
389	0.2635918508
390	0.2635418914
391	0.2634826038
392	0.2634268676
393	0.2632277498
394	0.2632026061
395	0.2630921972
396	0.2630145354
397	0.2629679601
398	0.2628866401
399	0.2628017463
400	0.2627080777
401	0.2626387196
402	0.2625587939
403	0.2625025886
404	0.2624178936
405	0.2623714135
406	0.2622965217
407	0.2621951063
408	0.2621436567
409	0.2620951506
410	0.2620092379
411	0.2619304663
412	0.2618338683
413	0.2617846772
414	0.2617421195
415	0.2616580437
416	0.2616148661
417	0.2615630338
418	0.2614793206
419	0.2613761139
420	0.2613122243
421	0.2612586961
422	0.2612048137
423	0.2611265023
424	0.2610735721
425	0.2609787926
426	0.2608815575
427	0.2608249177
428	0.2607237635
429	0.2606683011
430	0.2606091941
431	0.2605522675
432	0.2604516608
433	0.2604173062
434	0.2603403673
435	0.2602803654
436	0.2602173285
437	0.2601706723
438	0.2601181128
439	0.2600562769
440	0.2600022088
441	0.2599334779
442	0.2598748193
443	0.2598031286
444	0.2597501396
445	0.259708765
446	0.2596619813
447	0.2596197186
448	0.2595750715
449	0.2595069145
450	0.2594283926
451	0.2593512338
452	0.2593090974
453	0.2592384181
454	0.2590742852
455	0.2589953517
456	0.2589299262
457	0.2588537491
458	0.2588039163
459	0.2587293478
460	0.2586690992
461	0.2585930709
462	0.2585260701
463	0.2584607534
464	0.2584196152
465	0.2583382306
466	0.2582488406
467	0.2582292991
468	0.2581577199
469	0.2580875076
470	0.2580494061
471	0.2580011585
472	0.2578552439
473	0.2577893242
474	0.2576994644
475	0.2576208394
476	0.2575668962
477	0.2575194843
478	0.2574463629
479	0.2573929936
480	0.2573120256
481	0.2572295018
482	0.2571591732
483	0.2570939917
484	0.2570018877
485	0.2569429597
486	0.256884012
487	0.2568306703
488	0.256783548
489	0.2567396028
490	0.2566493133
491	0.2565533949
492	0.2564732936
493	0.2564093995
494	0.256335956
495	0.2562608201
496	0.256240623
497	0.2562114529
498	0.2561528734
499	0.2560800646
500	0.2560129274
501	0.2559573891
502	0.2559036056
503	0.2558514253
504	0.2557795665
505	0.2557041476
506	0.2556406054
507	0.2555551065
508	0.255477931
509	0.2554129832
510	0.2553526463
511	0.2552824653
512	0.2552119383
513	0.255167943
514	0.2550794239
515	0.2550275523
516	0.254998382
517	0.2549275013
518	0.2548836912
519	0.2548134973
520	0.2547577487
521	0.2547353241
522	0.2546755041
523	0.2546120503
524	0.2545364441
525	0.2544782481
526	0.2544424954
527	0.2543956217
528	0.2543227329
529	0.2542803234
530	0.254205593
531	0.254078155
532	0.2540317258
533	0.2539510765
534	0.2538804592
535	0.2538258692
536	0.2537920497
537	0.2537402252
538	0.2536936737
539	0.253667959
540	0.2536007989
541	0.2535352484
542	0.2535150868
543	0.253448514
544	0.2534287157
545	0.2533595717
546	0.2532970364
547	0.2532595443
548	0.2532003614
549	0.2531537807
550	0.2530607979
551	0.2529941814
552	0.2529333578
553	0.2528408943
554	0.2528006967
555	0.2527514037
556	0.2526768498
557	0.2525833346
558	0.2525624864
559	0.2525112232
560	0.2524432726
561	0.2524086437
562	0.2523539608
563	0.252290837
564	0.2522569409
565	0.2522073615
566	0.2521510268
567	0.252114113
568	0.2520473723
569	0.2519841477
570	0.2519355833
571	0.251849788
572	0.2517959008
573	0.2517454804
574	0.2516489155
575	0.2516011624
576	0.25154094
577	0.2514829141
578	0.2514109157
579	0.2513643167
580	0.2513082396
581	0.2512560837
582	0.2511772627
583	0.2511221053
584	0.2510477803
585	0.2509875519
586	0.2509413761
587	0.2508823666
588	0.2508266477
589	0.2507557043
590	0.2507083622
591	0.2506531372
592	0.2506259418
593	0.2505949284
594	0.2505316892
595	0.2504731372
596	0.2504086664
597	0.2503490074
598	0.2502969239
599	0.2502721195
600	0.2502050933
601	0.2501150444
602	0.2500229826
603	0.2499862153
604	0.249848025
605	0.2497693713
606	0.2497116542
607	0.2496378483
608	0.2495777018
609	0.2495666301
610	0.2495249656
611	0.2494608256
612	0.2493880867
613	0.2493462705
614	0.2492829193
615	0.2492469413
616	0.2492267848
617	0.2491726647
618	0.2491177674
619	0.2490413606
620	0.2489908675
621	0.2489175545
622	0.2488898654
623	0.2488784463
624	0.2488128994
625	0.2487675853
626	0.2486899833
627	0.2486228205
628	0.2485647465
629	0.2485027183
630	0.2484560299
631	0.2484189956
632	0.2483688832
633	0.2483098874
634	0.2482422122
635	0.2481783958
636	0.2481245387
637	0.2480755288
638	0.2480089037
639	0.2479447627
640	0.2478446449
641	0.2477618016
642	0.2477150403
643	0.2476649205
644	0.2476456241
645	0.2475862067
646	0.2475185526
647	0.2474746897
648	0.247392863
649	0.2473400906
650	0.2472800848
651	0.2472519595
652	0.247225695
653	0.2471537256
654	0.2471077247
655	0.2470111738
656	0.2469562834
657	0.2468949964
658	0.2468037698
659	0.2467448143
660	0.2466953514
661	0.2466321407
662	0.2465896338
663	0.2465112963
664	0.2464512236
665	0.2463786524
666	0.2463300586
667	0.246277176
668	0.2462306765
669	0.2461767413
670	0.2461175969
671	0.2460444481
672	0.2459864627
673	0.2459549677
674	0.2459148194
675	0.2458659474
676	0.2458117955
677	0.245764519
678	0.2456986597
679	0.2456345284
680	0.2456059911
681	0.2455455004
682	0.2455098993
683	0.2454883491
684	0.2453782179
685	0.2453202989
686	0.2452780246
687	0.2452267124
688	0.2452128476
689	0.2450948586
690	0.2450397327
691	0.2449965317
692	0.2449563269
693	0.2449154575
694	0.2448769102
695	0.2448141114
696	0.2447812137
697	0.2447066792
698	0.2446672051
699	0.2446329068
700	0.2446046228
701	0.2445815283
702	0.2445248084
703	0.244488516
704	0.244471812
705	0.2444316523
706	0.2443894705
707	0.2443759528
708	0.2443131972
709	0.244268112
710	0.2441987403
711	0.2441584851
712	0.2441081485
713	0.2440385932
714	0.2439923349
715	0.2439413166
716	0.2439005015
717	0.2438516564
718	0.2438139593
719	0.2437288082
720	0.2436807872
721	0.2436226605
722	0.2435708245
723	0.243546105
724	0.2434930234
725	0.2434077097
726	0.2433643706
727	0.2432934079
728	0.2432251613
729	0.2431780657
730	0.2431194347
731	0.243085367
732	0.2430338536
733	0.2430244232
734	0.2429761284
735	0.2429302315
736	0.2428919761
737	0.2428404816
738	0.2427874391
739	0.2427153256
740	0.2426489068
741	0.242606223
742	0.2425429245
743	0.2425165155
744	0.2424416502
745	0.2423865456
746	0.2423377576
747	0.2422964272
748	0.2422658311
749	0.2422200166
750	0.2421813145
751	0.2420848428
752	0.2420237189
753	0.2419946339
754	0.2419702869
755	0.2419167691
756	0.2418932361
757	0.2418392917
758	0.2417564709
759	0.2417163639
760	0.2416388685
761	0.2415811063
762	0.2415288113
763	0.2414605029
764	0.241425558
765	0.2413764504
766	0.2413302099
767	0.2413007547
768	0.2412640212
769	0.2412056225
770	0.2411751904
771	0.2411113043
772	0.2410463424
773	0.2410005557
774	0.2409616576
775	0.2409112421
776	0.2408361571
777	0.240795544
778	0.2407737939
779	0.2406973675
780	0.2406841981
781	0.2406387565
782	0.2405988201
783	0.240557743
784	0.2405224954
785	0.2404214407
786	0.240384247
787	0.2403326299
788	0.2403019099
789	0.2402405384
790	0.2402168078
791	0.2401589898
792	0.2401197038
793	0.2400840833
794	0.2400618669
795	0.2400407882
796	0.2400181067
797	0.2398989762
798	0.2398572361
799	0.2398168224
800	0.2397643088
801	0.2397099132
802	0.2396453402
803	0.2395864537
804	0.2395234759
805	0.239493602
806	0.2394503639
807	0.2394203202
808	0.2393452917
809	0.2393005735
810	0.2392300829
811	0.2391535375
812	0.2391185683
813	0.2390695693
814	0.2390198234
815	0.2389832612
816	0.2389272734
817	0.2388991884
818	0.2388341548
819	0.2388058147
820	0.2387681802
821	0.2387421569
822	0.2387008687
823	0.23865376
824	0.2386225697
825	0.2385942957
826	0.2385660088
827	0.2385222202
828	0.2384677487
829	0.2384169397
830	0.2383989049
831	0.2383649333
832	0.2383084494
833	0.2382532225
834	0.238216013
835	0.2381499145
836	0.2381333831
837	0.2380735632
838	0.2380302477
839	0.2379805831
840	0.2379363881
841	0.2379227515
842	0.237891418
843	0.2378521047
844	0.2378147657
845	0.2377945154
846	0.2377577169
847	0.2377104549
848	0.2376596182
849	0.2376118989
850	0.2375764374
851	0.2375183349
852	0.237465869
853	0.2373920407
854	0.2373649075
855	0.2373136491
856	0.2372933601
857	0.2372591297
858	0.2372255363
859	0.2371895462
860	0.2371573531
861	0.2370808524
862	0.2370602842
863	0.2370292944
864	0.2369595106
865	0.2369094542
866	0.2368734252
867	0.2368236233
868	0.2367691701
869	0.2367424519
870	0.2367234716
871	0.2367045642
872	0.2366465012
873	0.2365975455
874	0.2365631251
875	0.2365383223
876	0.2364792719
877	0.2364424074
878	0.2364258982
879	0.2363874519
880	0.2363306556
881	0.2362662259
882	0.2362003473
883	0.2361641161
884	0.2360986433
885	0.2360548501
886	0.2360410185
887	0.2359827058
888	0.2359607739
889	0.2359019503
890	0.2358849254
891	0.2358521371
892	0.2358041375
893	0.2357817915
894	0.2357532305
895	0.2357160731
896	0.2356754092
897	0.2356374184
898	0.2355816147
899	0.235555947
900	0.2354966745
901	0.2354455146
902	0.23540295
903	0.2353532583
904	0.2353115729
905	0.2352603472
906	0.2352201538
907	0.235114544
908	0.235070625
909	0.2350218075
910	0.2349812628
911	0.2349662641
912	0.2349254235
913	0.2348946707
914	0.2348545816
915	0.234804832
916	0.2347875573
917	0.2347213688
918	0.2346626092
919	0.2346332763
920	0.2345973962
921	0.2345438667
922	0.23449729
923	0.2344320456
924	0.234393499
925	0.2342972375
926	0.2342624184
927	0.2341933567
928	0.2341469816
929	0.2341245388
930	0.2340854011
931	0.2340329764
932	0.2339851078
933	0.23395233
934	0.2339063628
935	0.2338781841
936	0.2338138678
937	0.2337642354
938	0.2337285822
939	0.233706555
940	0.2336593189
941	0.2336077068
942	0.2335644116
943	0.2335201814
944	0.2334787998
945	0.2334175857
946	0.2333639133
947	0.233321473
948	0.2332857584
949	0.23325306
950	0.233188552
951	0.2331701869
952	0.2331043009
953	0.2330857634
954	0.2330447073
955	0.2330082356
956	0.2329640483
957	0.2329145978
958	0.2328708167
959	0.2328381604
960	0.2327938869
961	0.2327419696
962	0.2327031829
963	0.2325709836
964	0.2325141301
965	0.2324654909
966	0.2323870138
967	0.2323385376
968	0.23230448
969	0.2322680002
970	0.2322574602
971	0.232192637
972	0.2321757222
973	0.2321134097
974	0.2320965319
975	0.2320582003
976	0.2320173542
977	0.2319576451
978	0.2319221351
979	0.2318863913
980	0.2318342029
981	0.2318156354
982	0.2317701638
983	0.2317295169
984	0.2316858525
985	0.2316553074
986	0.2316262943
987	0.2316132141
988	0.2315835129
989	0.2315561198
990	0.231509317
991	0.2314708534
992	0.2314293975
993	0.2313621427
994	0.2313410615
995	0.2313156212
996	0.231276389
997	0.2312503541
998	0.2312219116
999	0.2311512153
