iter	Passed	Remaining
407	5584	8102
408	5606	8101
409	5620	8087
410	5632	8071
411	5647	8059
412	5660	8045
413	5670	8026
414	5682	8010
415	5695	7995
416	5710	7983
417	5722	7967
418	5734	7952
419	5746	7935
420	5761	7924
421	5775	7910
422	5788	7895
423	5798	7877
424	5811	7862
425	5824	7848
426	5838	7834
427	5851	7820
428	5866	7808
429	5878	7792
430	5892	7779
431	5902	7760
432	5913	7743
433	5924	7727
434	5940	7716
435	5960	7709
436	5977	7700
437	5992	7689
438	6006	7675
439	6021	7663
440	6033	7647
441	6044	7630
442	6055	7613
443	6069	7600
444	6082	7585
445	6094	7570
446	6110	7559
447	6122	7543
448	6139	7534
449	6151	7519
450	6163	7502
451	6179	7491
452	6193	7478
453	6206	7464
454	6219	7449
455	6229	7431
456	6244	7419
457	6256	7404
458	6274	7395
459	6290	7384
460	6303	7369
461	6318	7357
462	6329	7340
463	6343	7327
464	6356	7313
465	6369	7299
466	6380	7282
467	6393	7268
468	6406	7253
469	6419	7238
470	6431	7223
471	6445	7210
472	6456	7193
473	6469	7179
474	6483	7165
475	6498	7153
476	6510	7138
477	6524	7124
478	6539	7112
479	6552	7098
480	6576	7095
481	6595	7087
482	6606	7071
483	6620	7058
484	6635	7045
485	6648	7031
486	6662	7018
487	6673	7001
488	6686	6986
489	6697	6971
490	6716	6962
491	6731	6950
492	6745	6937
493	6756	6920
494	6770	6907
495	6782	6891
496	6795	6877
497	6808	6863
498	6819	6846
499	6832	6832
500	6843	6816
501	6858	6804
502	6869	6787
503	6884	6775
504	6896	6759
505	6909	6745
506	6925	6734
507	6935	6717
508	6949	6703
509	6964	6690
510	6978	6678
511	6991	6664
512	7007	6652
513	7024	6641
514	7040	6630
515	7052	6615
516	7064	6600
517	7078	6586
518	7090	6571
519	7102	6556
520	7115	6542
521	7126	6526
522	7140	6512
523	7152	6496
524	7165	6483
525	7179	6469
526	7199	6461
527	7214	6449
528	7227	6434
529	7239	6419
530	7250	6404
531	7264	6390
532	7279	6377
533	7293	6365
534	7305	6349
535	7316	6333
536	7332	6321
537	7346	6308
538	7360	6295
539	7374	6282
540	7387	6267
541	7398	6252
542	7409	6236
543	7426	6224
544	7440	6212
545	7453	6198
546	7465	6182
547	7481	6171
548	7498	6159
549	7508	6143
550	7520	6128
551	7532	6113
552	7552	6104
553	7571	6095
554	7584	6081
555	7597	6067
556	7610	6052
557	7622	6037
558	7632	6021
559	7643	6005
560	7653	5988
561	7665	5973
562	7680	5961
563	7692	5946
564	7709	5935
565	7719	5919
566	7734	5906
567	7748	5892
568	7759	5877
569	7770	5861
570	7784	5848
571	7798	5835
572	7811	5820
573	7820	5804
574	7834	5790
575	7850	5778
576	7864	5765
577	7878	5751
578	7890	5737
579	7905	5724
580	7919	5711
581	7930	5695
582	7942	5681
583	7956	5667
584	7968	5652
585	7980	5637
586	7991	5622
587	8005	5609
588	8018	5595
589	8034	5583
590	8048	5569
591	8061	5556
592	8072	5540
593	8084	5525
594	8098	5512
595	8110	5497
596	8123	5483
597	8135	5468
598	8147	5454
599	8159	5439
600	8173	5426
601	8193	5416
602	8209	5404
603	8229	5395
604	8246	5383
605	8257	5368
606	8268	5353
607	8281	5339
608	8294	5325
609	8306	5311
610	8319	5296
611	8334	5283
612	8348	5270
613	8363	5257
614	8375	5243
615	8390	5230
616	8402	5215
617	8414	5201
618	8427	5187
619	8441	5173
620	8453	5158
621	8466	5144
622	8479	5131
623	8492	5117
624	8506	5104
625	8521	5090
626	8537	5079
627	8557	5069
628	8573	5057
629	8588	5044
630	8604	5031
631	8617	5017
632	8629	5003
633	8642	4988
634	8653	4974
635	8667	4960
636	8681	4947
637	8694	4932
638	8706	4918
639	8718	4904
640	8732	4890
641	8745	4876
642	8761	4864
643	8772	4849
644	8787	4836
645	8801	4823
646	8816	4809
647	8829	4796
648	8843	4782
649	8857	4769
650	8871	4756
651	8884	4742
652	8904	4731
653	8915	4716
654	8928	4702
655	8946	4691
656	8956	4676
657	8969	4661
658	8982	4647
659	8993	4633
660	9007	4619
661	9020	4605
662	9034	4592
663	9048	4578
664	9062	4565
665	9074	4550
666	9086	4536
667	9103	4524
668	9117	4510
669	9132	4497
670	9144	4483
671	9159	4470
672	9173	4457
673	9186	4443
674	9203	4431
675	9216	4417
676	9230	4404
677	9243	4389
678	9259	4377
679	9272	4363
680	9284	4348
681	9299	4336
682	9314	4322
683	9326	4308
684	9340	4295
685	9354	4281
686	9365	4266
687	9376	4252
688	9388	4237
689	9400	4223
690	9415	4210
691	9428	4196
692	9440	4182
693	9455	4169
694	9467	4154
695	9479	4140
696	9489	4125
697	9499	4110
698	9514	4096
699	9539	4088
700	9551	4073
701	9563	4059
702	9575	4045
703	9588	4031
704	9602	4017
705	9615	4004
706	9625	3988
707	9635	3973
708	9644	3958
709	9655	3943
710	9670	3930
711	9680	3915
712	9691	3901
713	9705	3887
714	9716	3873
715	9728	3858
716	9740	3844
717	9749	3829
718	9760	3814
719	9776	3801
720	9796	3790
721	9810	3777
722	9823	3763
723	9840	3751
724	9862	3741
725	9882	3729
726	9902	3718
727	9924	3708
728	9946	3697
729	9963	3685
730	9976	3671
731	9988	3656
732	10001	3643
733	10012	3628
734	10024	3614
735	10040	3601
736	10055	3588
737	10070	3575
738	10086	3562
739	10100	3548
740	10114	3535
741	10134	3523
742	10151	3511
743	10165	3497
744	10181	3484
745	10193	3470
746	10206	3456
747	10223	3444
748	10238	3431
749	10258	3419
750	10272	3405
751	10282	3391
752	10298	3377
753	10309	3363
754	10322	3349
755	10336	3336
756	10347	3321
757	10358	3307
758	10374	3294
759	10385	3279
760	10399	3265
761	10415	3253
762	10427	3239
763	10441	3225
764	10455	3211
765	10468	3197
766	10482	3184
767	10493	3169
768	10504	3155
769	10525	3143
770	10538	3130
771	10549	3115
772	10563	3102
773	10579	3088
774	10593	3075
775	10605	3061
776	10621	3048
777	10633	3034
778	10644	3019
779	10656	3005
780	10668	2991
781	10682	2978
782	10694	2963
783	10708	2950
784	10720	2936
785	10731	2921
786	10744	2907
787	10756	2893
788	10768	2879
789	10788	2867
790	10804	2854
791	10820	2841
792	10834	2828
793	10853	2816
794	10868	2802
795	10878	2788
796	10892	2774
797	10905	2760
798	10915	2745
799	10926	2731
800	10942	2718
801	10954	2704
802	10971	2691
803	10985	2677
804	10996	2663
805	11008	2649
806	11025	2636
807	11042	2624
808	11055	2610
809	11067	2596
810	11078	2581
811	11090	2567
812	11103	2553
813	11118	2540
814	11130	2526
815	11150	2514
816	11163	2500
817	11173	2486
818	11186	2472
819	11203	2459
820	11217	2445
821	11231	2432
822	11242	2417
823	11257	2404
824	11274	2391
825	11300	2380
826	11314	2366
827	11327	2353
828	11337	2338
829	11347	2324
830	11361	2310
831	11374	2296
832	11386	2282
833	11399	2269
834	11415	2255
835	11429	2242
836	11438	2227
837	11452	2213
838	11467	2200
839	11479	2186
840	11489	2172
841	11504	2158
842	11517	2145
843	11532	2131
844	11545	2117
845	11555	2103
846	11569	2089
847	11580	2075
848	11590	2061
849	11604	2047
850	11615	2033
851	11625	2019
852	11636	2005
853	11651	1991
854	11661	1977
855	11679	1964
856	11691	1950
857	11702	1936
858	11712	1922
859	11723	1908
860	11737	1894
861	11750	1881
862	11761	1867
863	11777	1853
864	11789	1840
865	11801	1826
866	11814	1812
867	11828	1798
868	11844	1785
869	11858	1771
870	11878	1759
871	11893	1745
872	11911	1732
873	11934	1720
874	11953	1707
875	11971	1694
876	11989	1681
877	12009	1668
878	12027	1655
879	12045	1642
880	12061	1629
881	12076	1615
882	12091	1602
883	12105	1588
884	12124	1575
885	12144	1562
886	12162	1549
887	12182	1536
888	12205	1523
889	12215	1509
890	12232	1496
891	12247	1482
892	12262	1469
893	12274	1455
894	12287	1441
895	12302	1427
896	12313	1413
897	12326	1400
898	12342	1386
899	12355	1372
900	12370	1359
901	12388	1346
902	12405	1332
903	12420	1318
904	12435	1305
905	12451	1291
906	12470	1278
907	12486	1265
908	12511	1252
909	12530	1239
910	12545	1225
911	12560	1211
912	12574	1198
913	12589	1184
914	12603	1170
915	12618	1157
916	12629	1143
917	12656	1130
918	12669	1116
919	12682	1102
920	12696	1089
921	12710	1075
922	12725	1061
923	12736	1047
924	12753	1034
925	12770	1020
926	12789	1007
927	12804	993
928	12819	979
929	12837	966
930	12852	952
931	12867	938
932	12886	925
933	12903	911
934	12921	898
935	12933	884
936	12943	870
937	12957	856
938	12978	843
939	12998	829
940	13019	816
941	13040	802
942	13056	789
943	13070	775
944	13088	761
945	13101	747
946	13120	734
947	13136	720
948	13154	706
949	13168	693
950	13185	679
951	13199	665
952	13214	651
953	13227	637
954	13242	623
955	13253	609
956	13270	596
957	13285	582
958	13301	568
959	13315	554
960	13327	540
961	13345	527
962	13359	513
963	13371	499
964	13386	485
965	13399	471
966	13416	457
967	13432	444
968	13445	430
969	13456	416
970	13468	402
971	13491	388
972	13509	374
973	13520	360
974	13531	346
975	13546	333
976	13560	319
977	13573	305
978	13586	291
979	13597	277
980	13607	263
981	13619	249
982	13634	235
983	13649	221
984	13661	208
985	13671	194
986	13681	180
987	13696	166
988	13709	152
989	13725	138
990	13745	124
991	13761	110
992	13782	97
993	13802	83
994	13814	69
995	13827	55
996	13839	41
997	13853	27
998	13865	13
999	13881	0
